ClassDescKeywordId,Keyword,ClassDescriptionId,ClassCode,ClassSuffix,DirectOK
1,Automobile Parts and Accessories,1,8046,1,Y
316,Auto Parts,1,8046,1,Y
317,Used Automotive Parts,1,8046,1,Y
327,Aftermarket Auto Parts,1,8046,1,Y
328,Car Batteries,1,8046,1,Y
345,Car Parts and Accessories,1,8046,1,Y
344,Truck Stops,2,8391,2,Y
382,Petrol Station,2,8391,2,Y
383,Filling Station,2,8391,2,Y
384,Service Station,2,8391,2,Y
318,Gas Station,2,8391,2,Y
2,Gasoline Station,2,8391,2,Y
3,Rentals/Leasing,3,8385,0,Y
343,Car Rentals and Leasing,3,8385,0,Y
346,Automobile Rentals and Leasing,3,8385,0,Y
475,Truck Rental,3,8385,0,Y
476,Truck Leasing,3,8385,0,Y
359,Tire Retreading,4,8391,4,Y
360,Car Tire Dealer,4,8391,4,Y
4,Rubber Tire Dealer,4,8391,4,Y
5,Vehicle Sales (No Repair Work),5,8748,0,Y
355,Motorcycle Dealer,5,8748,0,Y
356,Outdoor Recreational Dealer,5,8748,0,Y
338,Auto Dealership,5,8748,0,Y
339,Car Dealership,5,8748,0,Y
340,Auto Sales,5,8748,0,Y
341,Car Sales,5,8748,0,Y
329,Antique Auto Sales,5,8748,0,Y
323,Car Dealership,5,8748,0,Y
325,Auto Restoration,6,8391,0,Y
326,Auto Body Shop,6,8391,0,Y
333,Collision Center,6,8391,0,Y
357,Car Restoration,6,8391,0,Y
358,Car Painting,6,8391,0,Y
361,Auto Body Repair,6,8391,0,Y
354,Salvage,6,8391,0,Y
6,Body Repair,6,8391,0,Y
7,Car Wash,7,8391,1,Y
324,Truck Washing Service,7,8391,1,Y
321,Automatic Car Wash,7,8391,1,Y
320,Van Conversion and Customization,8,8391,0,Y
330,Auto Conversion and Customization,8,8391,0,Y
8,Conversion or Customization,8,8391,0,Y
9,Service or Repair Center,9,8391,3,Y
334,Auto Mechanic,9,8391,3,Y
322,Garage,9,8391,3,Y
319,Car Mechanic,9,8391,3,Y
309,Home Repairs,10,5403,0,Y
313,Handyman,10,5403,0,Y
331,Artisan,10,5403,0,Y
332,Handyperson,10,5403,0,Y
350,Finish Carpentry,10,5403,0,Y
10,Artisan/Handyman,10,5403,0,Y
467,Window Coverings,10,5403,0,Y
458,Custom Kitchens,11,5429,0,Y
11,Cabinetry or Interior Trim Installation,11,5429,0,Y
347,Kitchen Cabinetry,11,5429,0,Y
351,Remodeler,12,5645,9,Y
349,Builder (Residential Carpentry),12,5645,9,Y
312,Framer,12,5645,9,Y
12,Residential Carpentry,12,5645,9,Y
13,Roofing,13,5545,0,N
385,Roofer,13,5545,0,N
449,Shingling,13,5545,0,N
481,Gutter Installation,13,5545,0,N
14,Shop Only,14,2802,0,N
15,Flat Cement Work,15,5221,0,Y
335,Driveway Installation,15,5221,0,Y
336,Sidewalk Installation,15,5221,0,Y
486,Sealcoating,15,5221,0,Y
468,Precast Concrete,16,5213,0,Y
337,Concrete Foundations,16,5213,0,Y
16,Concrete Construction,16,5213,0,Y
17,Masonry,17,5022,0,N
18,Plastering or Stucco Work,18,5022,1,N
386,Stucco,18,5022,1,N
461,Basement Waterproofing,18,5022,1,N
278,Heating Ventilation and Air Conditioning,19,5536,0,Y
279,HVAC Services,19,5536,0,Y
280,Refrigeration and Cooling,19,5536,0,Y
19,HVAC / Refrigeration Systems,19,5536,0,Y
20,Plumbing,20,5183,0,Y
272,Pipe Fitting,20,5183,0,Y
21,Sheet Metal Work,21,5538,3,N
22,Welding or Cutting,22,3365,0,N
466,Welding,22,3365,0,N
23,Drywalling,23,5445,2,N
387,Wall Board Installation,23,5445,2,N
275,Cabling,24,5190,0,Y
276,Electrician,24,5190,0,Y
277,Wiring Services,24,5190,0,Y
24,Electrical Work,24,5190,0,Y
412,Electrical Technician,24,5190,0,Y
25,Excavation,25,6217,0,N
364,Excavator,25,6217,0,N
26,Grading of Land,26,6217,1,N
27,Insulation Work,27,5479,0,Y
28,Lathing,28,5443,0,N
29,Painting,29,5474,5,Y
362,Painter,29,5474,5,Y
282,Exterior Painting,29,5474,5,Y
283,Interior Painting,29,5474,5,Y
281,Wallpapering,30,5491,0,Y
30,Paperhanging,30,5491,0,Y
31,Colleges,31,9101,0,Y
391,University,31,9101,0,Y
32,Schools,32,9101,2,Y
487,Tutoring Center,32,9101,2,Y
33,Firefighters,33,7710,0,N
34,"Garbage, Ashes or Refuse Collection",34,9403,0,N
393,Trash Collector,34,9403,0,N
394,Waste Collection,34,9403,0,N
422,Junk,34,9403,0,N
35,Police Officers,35,7720,0,N
36,Ambulance Service Cos. & EMS,36,8394,0,N
402,EMS,36,8394,0,N
37,Dentist,37,8832,1,Y
